"Id","TypeName","BranchName","Buy","BuyValue","Sell","SellValue","BuyDiffer","BuyDifferValue","SellDiffer","SellDifferValue","GroupDate"
1,"Vàng SJC 1L, 10L, 1KG","Hồ Chí Minh","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
17,"Vàng SJC 5 chỉ","Hồ Chí Minh","87,000",87000000,"89,020",89020000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
33,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ","Hồ Chí Minh","87,000",87000000,"89,030",89030000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
49,"Vàng nhẫn SJC 99,99 1 chỉ, 2 chỉ, 5 chỉ","Hồ Chí Minh","87,000",87000000,"88,500",88500000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
65,"Vàng nhẫn SJC 99,99 0.5 chỉ, 0.3 chỉ","Hồ Chí Minh","87,000",87000000,"88,600",88600000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
81,"Nữ trang 99,99%","Hồ Chí Minh","86,900",86900000,"88,300",88300000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
97,"Nữ trang 99%","Hồ Chí Minh","85,426",85425742.5742,"87,426",87425742.5742,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
113,"Nữ trang 75%","Hồ Chí Minh","63,882",63881623.1623,"66,382",66381623.1623,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
129,"Nữ trang 68%","Hồ Chí Minh","57,700",57700005.0005,"60,200",60200005.0005,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
210,"Nữ trang 61%","Hồ Chí Minh","51,518",51518386.8386,"54,018",54018386.8386,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
145,"Nữ trang 58,3%","Hồ Chí Minh","49,134",49134048.4048,"51,634",51634048.4048,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
161,"Nữ trang 41,7%","Hồ Chí Minh","34,475",34474782.4782,"36,975",36974782.4782,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
2,"Vàng SJC 1L, 10L, 1KG","Miền Bắc","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
13,"Vàng SJC 1L, 10L, 1KG","Hạ Long","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
177,"Vàng SJC 1L, 10L, 1KG","Hải Phòng","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
188,"Vàng SJC 1L, 10L, 1KG","Miền Trung","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
7,"Vàng SJC 1L, 10L, 1KG","Huế","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
10,"Vàng SJC 1L, 10L, 1KG","Quảng Ngãi","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
4,"Vàng SJC 1L, 10L, 1KG","Nha Trang","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
8,"Vàng SJC 1L, 10L, 1KG","Biên Hòa","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
9,"Vàng SJC 1L, 10L, 1KG","Miền Tây","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
16,"Vàng SJC 1L, 10L, 1KG","Bạc Liêu","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
5,"Vàng SJC 1L, 10L, 1KG","Cà Mau","87,000",87000000,"89,000",89000000,"No_Value",0,"No_Value",0,"/Date(-62135596800000)/"
