Id,TypeName,Company,BuyValue,SellValue
1,Hà Nội SJC,PNJ,87000000,89000000
2,Giá vàng nữ trang Vàng 750 (18K),PNJ,65130000,66530000
3,Tây Nguyên SJC,PNJ,87000000,89000000
4,Đông Nam Bộ PNJ,PNJ,87800000,88900000
5,Đông Nam Bộ SJC,PNJ,87000000,89000000
6,Giá vàng nữ trang Nhẫn Trơn PNJ 999.9,PNJ,87800000,88900000
7,Giá vàng nữ trang Vàng nữ trang 999.9,PNJ,87700000,88500000
8,Giá vàng nữ trang Vàng nữ trang 999,PNJ,87610000,88410000
9,Giá vàng nữ trang Vàng nữ trang 99,PNJ,86720000,87720000
10,Giá vàng nữ trang Vàng 916 (22K),PNJ,80670000,81170000
11,Tây Nguyên PNJ,PNJ,87800000,88900000
12,Giá vàng nữ trang Vàng 680 (16.3K),PNJ,58930000,60330000
13,Giá vàng nữ trang Vàng 650 (15.6K),PNJ,56280000,57680000
14,Giá vàng nữ trang Vàng 610 (14.6K),PNJ,52740000,54140000
15,Giá vàng nữ trang Vàng 585 (14K),PNJ,50520000,51920000
16,Giá vàng nữ trang Vàng 416 (10K),PNJ,35570000,36970000
17,Giá vàng nữ trang Vàng 375 (9K),PNJ,31940000,33340000
18,Giá vàng nữ trang Vàng 333 (8K),PNJ,27960000,29360000
19,TPHCM PNJ,PNJ,87800000,88900000
20,Miền Tây SJC,PNJ,87000000,89000000
21,Miền Tây PNJ,PNJ,87800000,88900000
22,Đà Nẵng SJC,PNJ,87000000,89000000
23,Đà Nẵng PNJ,PNJ,87800000,88900000
24,Hà Nội PNJ,PNJ,87800000,88900000
25,TPHCM SJC,PNJ,87000000,89000000
